h3_index,centroid_lat,centroid_lng,elev_m,slope_pct,hand_m,water_dist_m,building_count,is_land,elevation_score,slope_score,drainage_score,imperviousness
8875292d03fffff,5.679173,-0.177668,66.0,1.788,7.0,738.0,1080,1,0.1341,0.6424,0.4167,0.932
8875292d05fffff,5.688506,-0.187418,69.0,2.29,2.0,738.0,32,1,0.1106,0.542,0.8333,0.2457
8875292d07fffff,5.681482,-0.184887,51.0,2.169,0.0,0.0,511,1,0.261,0.5661,1.0,0.7165
8875292d09fffff,5.690913,-0.175509,66.0,1.22,0.0,0.0,8,1,0.1341,0.756,1.0,0.1322
8875292d0bfffff,5.683888,-0.172979,59.0,2.033,0.0,0.0,215,1,0.1834,0.5934,1.0,0.545
8875292d0dfffff,5.693222,-0.182729,67.0,2.026,0.0,0.0,31,1,0.1255,0.5948,1.0,0.2419
8875292d11fffff,5.66984,-0.167918,72.0,1.326,5.0,830.0,846,1,0.1006,0.7348,0.5833,0.8573
8875292d13fffff,5.662817,-0.165388,83.0,2.532,12.0,737.0,692,1,0.0623,0.4937,0.0,0.7874
8875292d15fffff,5.672149,-0.175137,66.0,1.326,0.0,0.0,533,1,0.1341,0.7348,1.0,0.7265
8875292d17fffff,5.665126,-0.172607,77.0,1.907,6.0,830.0,151,1,0.0829,0.6186,0.5,0.4775
8875292d19fffff,5.674555,-0.163228,73.0,1.787,9.0,738.0,313,1,0.0958,0.6425,0.25,0.6183
8875292d1bfffff,5.667531,-0.160699,72.0,1.898,0.0,0.0,853,1,0.1006,0.6204,1.0,0.8597
8875292d1dfffff,5.676864,-0.170448,67.0,0.964,0.0,0.0,242,1,0.1255,0.8072,1.0,0.5675
8875292d21fffff,5.686098,-0.199324,47.0,2.503,0.0,0.0,350,1,0.3046,0.4994,1.0,0.6379
8875292d23fffff,5.679075,-0.196793,53.0,2.034,0.0,0.0,360,1,0.2404,0.5932,1.0,0.647
8875292d25fffff,5.688406,-0.206542,40.0,1.22,0.0,0.0,150,1,0.4047,0.7559,1.0,0.4751
8875292d27fffff,5.681383,-0.20401,42.0,1.311,0.0,0.0,154,1,0.3745,0.7377,1.0,0.4837
8875292d29fffff,5.690814,-0.194637,51.0,2.145,0.0,0.0,98,1,0.261,0.5709,1.0,0.3932
8875292d2bfffff,5.68379,-0.192106,68.0,2.652,15.0,737.0,262,1,0.1169,0.4697,0.0,0.5857
8875292d2dfffff,5.693122,-0.201856,49.0,2.169,9.0,737.0,509,1,0.2845,0.5661,0.25,0.715
8875292d31fffff,5.669744,-0.187044,67.0,2.531,8.0,737.0,252,1,0.1255,0.4937,0.3333,0.5766
8875292d33fffff,5.662722,-0.184514,62.0,3.376,3.0,1327.0,23,1,0.1638,0.3249,0.75,0.2122
8875292d35fffff,5.672053,-0.194262,51.0,1.907,0.0,0.0,37,1,0.261,0.6185,1.0,0.2601
8875292d37fffff,5.665031,-0.191731,55.0,3.496,4.0,830.0,58,1,0.2165,0.3007,0.6667,0.3276
8875292d39fffff,5.674458,-0.182356,59.0,1.55,0.0,0.0,873,1,0.1834,0.6901,1.0,0.8683
8875292d3bfffff,5.667435,-0.179826,61.0,2.773,0.0,737.0,195,1,0.1734,0.4455,1.0,0.5273
8875292d3dfffff,5.676767,-0.189575,46.0,2.652,0.0,0.0,323,1,0.3214,0.4697,1.0,0.6255
8875292d43fffff,5.69563,-0.170819,67.0,0.844,1.0,738.0,88,1,0.1255,0.8313,0.9167,0.3822
8875292d47fffff,5.697939,-0.17804,70.0,0.482,3.0,738.0,176,1,0.1063,0.9036,0.75,0.5077
8875292d51fffff,5.686295,-0.161068,69.0,1.787,0.0,0.0,152,1,0.1106,0.6425,1.0,0.4808
8875292d53fffff,5.67927,-0.158538,64.0,1.43,0.0,0.0,625,1,0.148,0.714,1.0,0.7644
8875292d55fffff,5.688604,-0.168289,74.0,2.033,0.0,0.0,118,1,0.0915,0.5934,1.0,0.4186
8875292d57fffff,5.68158,-0.165758,70.0,1.311,0.0,0.0,303,1,0.1063,0.7378,1.0,0.6106
8875292d59fffff,5.691012,-0.156376,63.0,1.311,0.0,0.0,1,1,0.1537,0.7379,1.0,0.0709
8875292d5bfffff,5.683986,-0.153846,54.0,1.897,0.0,0.0,149,1,0.2304,0.6206,1.0,0.4732
8875292d5dfffff,5.693321,-0.163598,74.0,1.355,0.0,738.0,8,1,0.0915,0.729,1.0,0.1322
8875292d63fffff,5.69553,-0.189949,50.0,2.29,0.0,0.0,8,1,0.2744,0.542,1.0,0.1322
8875292d67fffff,5.697838,-0.197168,65.0,2.169,14.0,830.0,30,1,0.1413,0.5661,0.0,0.2375
8875292d81fffff,5.637039,-0.16249,68.0,1.929,0.0,0.0,524,1,0.1169,0.6141,1.0,0.7203
8875292d83fffff,5.630019,-0.159961,52.0,2.035,0.0,0.0,261,1,0.2486,0.5931,1.0,0.5843
8875292d85fffff,5.639349,-0.169707,57.0,1.492,0.0,0.0,363,1,0.1954,0.7016,1.0,0.6489
8875292d87fffff,5.632329,-0.167178,65.0,2.146,0.0,0.0,509,1,0.1413,0.5708,1.0,0.715
8875292d89fffff,5.641751,-0.157801,62.0,1.492,0.0,737.0,577,1,0.1638,0.7017,1.0,0.7433
8875292d8bfffff,5.634729,-0.155272,67.0,2.035,15.0,737.0,431,1,0.1255,0.5931,0.0,0.6868
8875292d8dfffff,5.64406,-0.165019,68.0,1.627,0.0,0.0,404,1,0.1169,0.6745,1.0,0.6705
8875292d91fffff,5.620689,-0.150215,46.0,2.306,17.0,737.0,785,1,0.3214,0.5388,0.0,0.8281
8875292d93fffff,5.613669,-0.147687,31.0,2.578,0.0,0.0,111,1,0.5704,0.4845,1.0,0.4124
8875292d95fffff,5.622999,-0.157432,41.0,2.171,0.0,0.0,282,1,0.3879,0.5659,1.0,0.5987
8875292d97fffff,5.61598,-0.154904,29.0,3.338,0.0,0.0,0,1,0.6073,0.3324,1.0,0.0316
8875292d99fffff,5.625399,-0.145525,47.0,2.503,0.0,0.0,753,1,0.3046,0.4995,1.0,0.8123
8875292d9bfffff,5.618378,-0.142997,44.0,2.86,0.0,0.0,554,1,0.3491,0.4279,1.0,0.7323
8875292d9dfffff,5.627709,-0.152743,56.0,2.035,15.0,737.0,135,1,0.2055,0.5931,0.0,0.444
8875292da1fffff,5.636948,-0.181611,74.0,3.219,14.0,737.0,65,1,0.0915,0.3562,0.0,0.3472
8875292da3fffff,5.629928,-0.179081,48.0,3.934,0.0,0.0,236,1,0.2917,0.2131,1.0,0.5623
8875292da5fffff,5.639257,-0.188827,88.0,1.669,28.0,1344.0,79,1,0.0484,0.6662,0.0,0.3702
8875292da7fffff,5.632238,-0.186297,81.0,3.934,26.0,829.0,39,1,0.067,0.2131,0.0,0.2711
8875292da9fffff,5.641659,-0.176924,60.0,2.98,0.0,0.0,231,1,0.1782,0.4039,1.0,0.5556
8875292dabfffff,5.634638,-0.174395,47.0,3.219,0.0,0.0,274,1,0.3046,0.3562,1.0,0.5939
8875292dadfffff,5.643968,-0.18414,85.0,2.98,25.0,839.0,48,1,0.056,0.4039,0.0,0.3056
8875292db1fffff,5.6206,-0.169336,47.0,1.93,0.0,829.0,18,1,0.3046,0.614,1.0,0.1868
8875292db3fffff,5.613581,-0.166808,63.0,3.338,34.0,1344.0,6,1,0.1537,0.3323,0.0,0.1169
8875292db5fffff,5.62291,-0.176552,39.0,2.307,0.0,0.0,44,1,0.4239,0.5387,1.0,0.2945
8875292db7fffff,5.615891,-0.174023,35.0,3.664,0.0,829.0,140,1,0.5005,0.2672,1.0,0.4521
8875292db9fffff,5.625309,-0.164649,55.0,1.669,3.0,737.0,48,1,0.2165,0.6662,0.75,0.3056
8875292dbbfffff,5.61829,-0.16212,57.0,3.338,16.0,737.0,0,1,0.1954,0.3324,0.0,0.0316
8875292dbdfffff,5.627619,-0.171865,56.0,2.307,0.0,0.0,443,1,0.2055,0.5387,1.0,0.6916
8875292dc1fffff,5.653485,-0.15564,62.0,1.326,0.0,0.0,517,1,0.1638,0.7348,1.0,0.7174
8875292dc3fffff,5.646462,-0.153111,51.0,1.492,0.0,0.0,360,1,0.261,0.7017,1.0,0.647
8875292dc5fffff,5.655794,-0.162859,62.0,2.532,0.0,0.0,374,1,0.1638,0.4937,1.0,0.6533
8875292dc7fffff,5.648772,-0.16033,56.0,1.627,0.0,0.0,432,1,0.2055,0.6745,1.0,0.6882
8875292dc9fffff,5.658198,-0.150949,65.0,1.567,3.0,738.0,155,1,0.1413,0.6866,0.75,0.4847
8875292dcbfffff,5.651175,-0.14842,56.0,1.898,0.0,0.0,31,1,0.2055,0.6204,1.0,0.2419
8875292dcdfffff,5.660508,-0.158169,69.0,1.668,0.0,0.0,400,1,0.1106,0.6663,1.0,0.6676
8875292dd1fffff,5.63713,-0.143363,49.0,1.567,0.0,0.0,244,1,0.2845,0.6865,1.0,0.5699
8875292dd3fffff,5.630109,-0.140835,36.0,2.441,0.0,0.0,608,1,0.4842,0.5119,1.0,0.7557
8875292dd5fffff,5.639441,-0.150582,53.0,1.899,8.0,737.0,557,1,0.2404,0.6203,0.3333,0.7352
8875292dd7fffff,5.632419,-0.148053,52.0,1.907,0.0,0.0,215,1,0.2486,0.6186,1.0,0.545
8875292dd9fffff,5.641842,-0.138672,48.0,1.356,0.0,738.0,43,1,0.2917,0.7289,1.0,0.2893
8875292ddbfffff,5.63482,-0.136144,54.0,2.441,18.0,737.0,107,1,0.2304,0.5119,0.0,0.4033
8875292dddfffff,5.644152,-0.145892,45.0,1.326,0.0,0.0,147,1,0.3348,0.7348,1.0,0.4679
8875292de1fffff,5.653391,-0.174766,78.0,1.567,7.0,737.0,148,1,0.0771,0.6865,0.4167,0.4713
8875292de3fffff,5.64637,-0.172236,65.0,1.907,5.0,737.0,83,1,0.1413,0.6185,0.5833,0.374
8875292de5fffff,5.6557,-0.181984,90.0,3.376,19.0,1344.0,129,1,0.045,0.3249,0.0,0.4349
8875292de7fffff,5.648679,-0.179454,81.0,2.532,21.0,829.0,121,1,0.067,0.4936,0.0,0.4229
8875292de9fffff,5.658104,-0.170078,71.0,1.627,0.0,0.0,139,1,0.1044,0.6746,1.0,0.4497
8875292debfffff,5.651082,-0.167548,68.0,1.43,6.0,737.0,279,1,0.1169,0.714,0.5,0.5972
8875292dedfffff,5.660413,-0.177296,84.0,2.773,13.0,839.0,57,1,0.0603,0.4455,0.0,0.3257
8875292e03fffff,5.696023,-0.094248,40.0,1.76,17.0,1328.0,597,1,0.4047,0.648,0.0,0.7519
8875292e07fffff,5.698334,-0.101475,33.0,0.833,1.0,739.0,447,1,0.5326,0.8333,0.9167,0.6944
8875292e11fffff,5.686683,-0.084492,32.0,1.625,12.0,739.0,877,1,0.5503,0.6751,0.0,0.8702
8875292e13fffff,5.679653,-0.081965,20.0,1.446,0.0,0.0,248,1,0.762,0.7109,1.0,0.5733
8875292e15fffff,5.688994,-0.09172,36.0,1.927,13.0,739.0,770,1,0.4842,0.6145,0.0,0.819
8875292e17fffff,5.681965,-0.089192,20.0,1.927,0.0,0.0,632,1,0.762,0.6145,1.0,0.7682
8875292e19fffff,5.691401,-0.079792,22.0,2.03,2.0,1328.0,410,1,0.7347,0.594,0.8333,0.6748
8875292e1bfffff,5.684371,-0.077265,21.0,2.024,1.0,739.0,925,1,0.7486,0.5953,0.9167,0.8913
8875292e1dfffff,5.693712,-0.08702,38.0,1.905,18.0,1328.0,474,1,0.442,0.6191,0.0,0.705
8875292e23fffff,5.695926,-0.113398,27.0,1.083,0.0,0.0,879,1,0.6446,0.7833,1.0,0.8716
8875292e27fffff,5.698236,-0.120624,32.0,0.595,5.0,840.0,892,1,0.5503,0.8809,0.5833,0.8769
8875292e31fffff,5.686587,-0.103644,22.0,1.205,0.0,0.0,107,1,0.7347,0.7591,1.0,0.4033
8875292e33fffff,5.679558,-0.101116,29.0,1.083,6.0,738.0,43,1,0.6073,0.7833,0.5,0.2893
8875292e35fffff,5.688897,-0.11087,29.0,0.834,0.0,0.0,857,1,0.6073,0.8333,1.0,0.8611
8875292e37fffff,5.681869,-0.108341,28.0,2.032,6.0,738.0,568,1,0.626,0.5937,0.5,0.739
8875292e39fffff,5.691305,-0.098946,27.0,1.76,5.0,739.0,479,1,0.6446,0.648,0.5833,0.7069
8875292e3bfffff,5.684276,-0.096418,23.0,1.76,0.0,0.0,351,1,0.7141,0.648,1.0,0.6389
8875292e3dfffff,5.693616,-0.106172,32.0,1.205,0.0,0.0,570,1,0.5503,0.7591,1.0,0.7404
8875292e53fffff,5.69612,-0.075092,37.0,2.03,17.0,1983.0,151,1,0.4631,0.594,0.0,0.4775
8875292e57fffff,5.698432,-0.08232,30.0,1.083,10.0,1983.0,679,1,0.5881,0.7834,0.1667,0.7816
8875292e81fffff,5.653853,-0.079083,17.0,1.625,0.0,0.0,159,1,0.8008,0.6749,1.0,0.4923
8875292e83fffff,5.646827,-0.076557,23.0,0.833,0.0,0.0,521,1,0.7141,0.8333,1.0,0.7184
8875292e85fffff,5.656165,-0.086308,14.0,1.808,0.0,0.0,422,1,0.8434,0.6385,1.0,0.681
8875292e87fffff,5.649139,-0.083781,29.0,1.808,0.0,738.0,467,1,0.6073,0.6385,1.0,0.7011
